id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,title,link,image_link,additional_image_link,additional_image_link.1,additional_image_link.2,additional_image_link.3,additional_image_link.4,additional_image_link.5,additional_image_link.6,additional_image_link.7,additional_image_link.8,additional_image_link.9,availability,description,google_product_category,price,brand,gtin,condition,adult,is_bundle,age_group,tax,color,gender,size,shipping,product_type,identifier_exists,promotion_id,item_group_id
woo_1351,,,,,,Christmas Ugly Sweater Don't Be Tachy Hoodies Sweatshirts,https://teebubbles.com/products/christmas-ugly-sweater-don-t-be-tachy-hoodies-sweatshirts-50,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_80f9e8db-aca1-4af0-852e-cbaf5d74b1e6.png?v=1520690048,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_ffbdd0ba-8d09-4492-8180-160f3fb173b2.png?v=1520690048,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_30c9e199-dcb2-4959-946a-4ea8b3d6a54f.png?v=1520690048,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_e2f8cb10-2748-4f94-8a20-558788bc8ba8.png?v=1520690048,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_77c60cbd-0de1-45c1-ae10-1e0ddb9a7a17.png?v=1520690048,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_93c784ee-a64a-4528-a5f0-b45c9846b074.png?v=1520690048,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_686d776b-aafa-4abf-a520-1dc7df2993fc.png?v=1520690048,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_9f2e9715-ca29-4503-b8e7-04af991c643a.png?v=1520690048,,,,in stock,Christmas Ugly Sweater Don't Be Tachy Hoodies Sweatshirts 100% Printed in the United States HOW TO ORDER ? 1. Select Style and Color 2. Click Buy it Now 3. Select Size and Quantity 4. Enter shipping and billing information 5. Done! Simple as that! Tip: Free Shipping For Orders Over $60. ,2csdssasss,29.00 USD,,,new,no,no,adult,US::0.00:n,Black,unisex,Small,,Apparel & Accessories > Clothing,no,,1351
woo_1261,,,,,,Budweiser Woman Shirts And She Lived Happily Ever After Shirt,https://teebubbles.com/products/budweiser-woman-shirts-and-she-lived-happily-ever-after-shirt-24,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_ab1cf401-e241-4366-9d9f-5d432c59b31c.png?v=1534958177,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_b153f598-38e0-4704-a965-17a45dead306.png?v=1534958182,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_07a84223-4782-4cfe-907a-0ddd2092e544.png?v=1534958186,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_6d8c08e3-be29-476e-b386-9ca1fb4921f0.png?v=1534958189,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_e0329cf3-c49e-4861-ae8c-f553b6ea07a0.png?v=1534958193,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_fbe7d524-a42c-4eed-8b0b-34a52beb8320.png?v=1534958196,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_f4b99cd7-bd70-4b6b-97e5-b0f465f11e1d.png?v=1534958200,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_55838b24-c29f-4c9e-814d-bb3db4b4bba9.png?v=1534958204,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_5609a8b7-a540-4fc5-8d01-428302204246.png?v=1534958208,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_cb365f8b-d727-4665-914e-96ccbb965922.png?v=1534958212,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_46c8d7b4-dd29-4f00-b729-e8437bbe2aea.png?v=1534958217,in stock,"6. 1-ounce, 100% cotton Double-needle neck, sleeves and hem; Roomy Unisex Fit Ash is 99% cotton, 1% poly; Sport Grey is 90% cotton, 10% poly; Dark Heather is 50% cotton, 50% polyester Decoration type: Digital Print Made by Gildan Size Chart 6. 1-ounce, 100% cotton Ash is 99% cotton, 1% poly; Sport Grey is 90% cotton, 10% poly; Dark Heather is 50% cotton, 50% polyester Double-needle neck, sleeves and hem; Unisex sizing; consult size chart for details Decoration type: Digital Print Made by Gildan® Size Chart 8 oz 50/50 cotton/poly Air jet yarn creates a smooth, low-pill surface Double needle stitching; Pouch pocket; Unisex sizing Decoration type: Digital Print Made by Gildan Size Chart 8 oz; 50% cotton/50% polyester Air jet yarn for a softer feel and no pilling 1x1 athletic rib cuffs and waistband with spandex; Double-needle stitching Decoration type: Digital Print Made by Gildan Size Chart 6. 0 oz. ; 100% preshrunk cotton; Sport Grey is 90/10 Dark Heather is 50/50 Narrow 5/8 inch seamless collar Ladies' fit with shorter body length and tapered sleeves Decoration type: Digital Print Made by Gildan Size Chart 3. 7 oz. , 65% polyester, 35% viscose; 30 singles Racerback with sheering at seam; sideseamed merrowed bottom hem Easy, drapey fit; Runs small, order one size up for a fuller fit Decoration type: Digital Print Made by Bella + Canvas Size Chart. ",342cccccdsdccsss,21.45 USD,,,new,no,no,adult,US::0.00:n,Black,unisex,S,,Apparel & Accessories > Clothing,no,,1261
woo_1198,,,,,,Aerosmith Whiskey Hoodies Sweatshirts,https://teebubbles.com/products/aerosmith-whiskey-hoodies-sweatshirts-96,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_41b97bb1-b43c-4c6e-b62d-8919370c65f3.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_52292eb4-1ca4-498f-84f0-465106ec9732.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_693e21fa-ee42-4822-99fc-b2b9370d271f.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_a78e8ee9-2661-4a3a-b15c-7a125da7fe6c.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_0e67128c-d70e-4f13-b33f-40de3d2f5803.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_6fae3bbb-b6ae-4ee6-a0fa-a15928f912ea.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_cd8f3891-896a-4862-830d-61b56fd7ff97.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_8fa28492-d65a-4ec5-896b-3cc832242496.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_4dfb9415-50cd-49bd-8864-74ec308b5247.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_e15d48b8-bebf-46f9-9774-77ee374e9440.png?v=1522051020,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_dcfb9328-93a3-40d8-8bec-222bf3d9c768.png?v=1522051020,in stock,Aerosmith Whiskey Hoodies Sweatshirts 100% Printed in the U. S. A? HOW TO ORDER? 1. Select Style and Color 2. Click Buy it Now 3. Select Size and Quantity 4. Enter shipping and billing information 5. Done! Simple as that! Tip: Free Shipping For Orders Over $60. ,hoi haahaddddddddss,21.45 USD,,,new,no,no,adult,US::0.00:n,Black,unisex,Small,,Apparel & Accessories > Clothing,no,,1198
woo_1094,,,,,,Christmas Ugly Sweater Dog Save The Queen Hoodies Sweatshirts,https://teebubbles.com/products/christmas-ugly-sweater-dog-save-the-queen-hoodies-sweatshirts-58,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_8b92e1c4-3f82-4635-a6b8-3ce4493cb8fe.png?v=1520690012,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_ea511c8e-1fb2-472b-958f-217683644489.png?v=1520690012,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_db0ceb6a-e8a9-4218-90fe-6a2cf37cb361.png?v=1520690012,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_e56e298d-8c01-4b6f-9b03-ddf527ccfa85.png?v=1520690012,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_b10cc68f-e05e-4514-8a83-b06b219808ec.png?v=1520690012,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_40252063-9030-4cda-aa13-07aeac6eafc2.png?v=1520690012,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_f899fa8b-27f6-4878-b858-d3852aaa6ac5.png?v=1520690012,https://cdn.shopify.com/s/files/1/2655/7696/products/DynamicImageHandler_caf18f11-31fd-472a-b3e2-cd6bff216018.png?v=1520690012,,,,in stock,Christmas Ugly Sweater Dog Save The Queen Hoodies Sweatshirts 100% Printed in the United States HOW TO ORDER ? 1. Select Style and Color 2. Click Buy it Now 3. Select Size and Quantity 4. Enter shipping and billing information 5. Done! Simple as that! Tip: Free Shipping For Orders Over $60. ,342ccccccc,29.00 USD,,,new,no,no,adult,US::0.00:n,Black,unisex,Small,,Apparel & Accessories > Clothing,no,,1094
